airline_sentiment,text,cleaned_text
neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,will you be making BOSgtLAS non stop permanently anytime soon
negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,you guys messed up my seating I reserved seating with my friends and you guys gave my seat away   I want free internet
negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,status match program  I applied and its been three weeks  Called and emailed with no response
neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,do you miss me Dont worry well be together very soon
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,amazing to me that we cant get any cold air from the vents VX358 noair worstflightever roasted SFOtoBOS
negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",hi I just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during Flight Booking Problems
neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,Are the hours of operation for the Club at SFO that are posted online current
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",help left expensive headphones on flight 89 IAD to LAX today Seat 2A No one answering LampF number at LAX
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",awaiting my return phone call just would prefer to use your online selfservice option
positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,this is great news  America could start flights to Hawaii by end of year  via
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,Moodlighting is the only way to fly Best experience EVER Cool and calming  MoodlitMonday
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",Done and done Best airline around hands down
neutral,@VirginAmerica when can I book my flight to Hawaii??,when can I book my flight to Hawaii
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Your chat support is not working on your site
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",View of downtown Los Angeles the Hollywood Sign and beyond that rain in the mountains
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Hey first time flyer next week  excited But Im having a hard time getting my flights added to my Elevate account Help
neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,I have an unused ticket but moved to a new city where you dont fly How can I fly with you before it expires travelhelp
neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,are flights leaving Dallas for Seattle on time Feb 24
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!,Im elevategold for a good reason you rock
neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,DREAM
positive,@VirginAmerica wow this just blew my mind,wow this just blew my mind
neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,All were entertaining
neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Is flight 769 on its way Was supposed to take off 30 minutes ago Website still shows On Time not In Flight Thanks
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,Julie Andrews Hands down
neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,Will flights be leaving Dallas for LA on February 24th
positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,Im Lady Gaga She is amazing
neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,Carrie
neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,New marketing song  let us know what you think
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,I called a 34 weeks ago about adding 3 flights from 2014 to my Elevatethey still havent shown uphelp
positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,love all three but you really cant beat the classics
neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,Flight 0736 DAL to DCA 224 210pm Tried to check in could not Status please
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,heyyyy guyyyys been trying to get through for an hour can someone call me please
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",Hi Virgin Im on hold for 4050 minutes  are there any earlier flights from LA to NYC tonight earlier than 1150pm
negative,@VirginAmerica everything was fine until you lost my bag,everything was fine until you lost my bag
neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,I emailed your customer service team Let me know if you need the tracking number
neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",hi I just booked a flight but need to add baggage how can I do this
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",not worried its been a great ride in a new plane with great crew All airlines should be like this
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,awesome I flew yall Sat morning Any way we can correct my bill
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",Or watch some of the best student films in the country at 35000 feet CMFat35000feet
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,first time flying you all do you have a different ratepolicy for media Bags Thanks
neutral,@VirginAmerica what happened to Doom?!,what happened to Doom
positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,Ive applied more then once to be a member of the inflight crew teamIm 100 interested flightattendant dreampath G
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,youre the best Whenever I begrudgingly use any other airline Im delayed and Late Flight
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,I have no interesting flying with you after this I will Cancelled Flight my next four flights I plannedneverflyvirginforbusiness
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,it was a disappointing experience which will be shared with every business traveler I meet neverflyvirgin
negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,Im having trouble adding this flight my wife booked to my Elevate account Help
neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,I lt3 Flying VA But Life happens and I am trying to change my trip JPERHI  Can you helpVA home page will not let me
negative,@VirginAmerica Why is the site down?  When will it be back up?,Why is the site down  When will it be back up
neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",You down with RNP Yeah you know me
neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin
neutral,@VirginAmerica why is flight 345 redirected?,why is flight 345 redirected
negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Is it me or is your website down  BTW your new website isnt a great user experience  Time for another redesign
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,I cant check in or add a bag Your website isnt working Ive tried both desktop and mobile
negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,What is your phone number I cant find who to call about a flight reservation
negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,is anyone doing anything there today  Website is useless and no one is answering the phone
neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,trying to add my boy Prince to my ressie SF this Thursday  from LAX
negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,why must a traveler miss a flight to Late Flight check a bag  I missed my morning appointments and you lost my business sfo2lax
neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn,check out new music
negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,hows a direct flight FLLgtSFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight sneaky
negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp
positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",amazing customer  service again  RaeAnn in SF  shes the best customerservice virginamerica flying
negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,called your service line and was hung up on This is awesome sarcasm
neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,I was scheduled for SFO 2 DAL flight 714 today Changed to 24th due weather Looks like flight still on
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",has getaway deals through May from 59 oneway Lots of cool cities  CheapFlights FareCompare
neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",has getaway deals through May from 59 oneway Lots of cool cities  CheapFlights FareCompare
positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,come back to PHL already We need you to take us out of this horrible cold pleasecomeback
negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop
positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",is the best airline I have flown onEasy to change your reservationhelpful representatives amp a comfortable flying experience
positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure
negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",And now the flight Flight Booking Problems site is totally down Folks what is the problem
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,I like the customer service but a 40 min delay just for connecting passengers seems too long VA370
positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,thanks to your outstanding NYCJFK crew who moved mountains to get me home to San Francisco tonight
positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,you have the absolute best team and customer service ever  Every time I fly with you Im delighted  Thank you
neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",Do you provide complimentary upgrades to first class if there are available seats
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone Im calling intern Help
neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,How can I watch the Oscars2015 on my JFKgtSFO flight
neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,is flight 882 Cancelled Flightled and what do I do if it is
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,you are failing your customers because your check in process does not link to TSA precheck
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,us too Terrible airline Just gave us a hotel hotline number and said sorry
neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,has flight number 276 from SFO to Cabo San Lucas arrived yet
negative,@VirginAmerica Another delayed flight? #likingyoulessandless,Another delayed flight likingyoulessandless
negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,I need to register a service dog for a first class ticket from SFO gt Dulles The phone queue is an hour or longer Pls advise
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,you ROCK for making it so I can watch Oscars on my flight redcarpet oscars oscars2015
neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",dropped a track on you
positive,@VirginAmerica always!!! Xoxo,always Xoxo
negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,why cant we book seats on your flights when we buy them or even during check in Creates so much anxiety frustrated
negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,Youd think paying an extra 100 bucks RT for luggage might afford you hiring an extra hand at  lame
positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,best customer service rep in the world irmafromDallas takes the cake
neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,Can you find us a flt out of LAX that is sooner than midnight on Monday That would be great customer service
negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,please provide status for flight 769  I cant imagine its on time as the Web indicates  dude to weather here andor Dallas
positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,you have amazing staff amp super helpful as I just ran the  PrincessHalf they have spoiled me with comfort
negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",I paid the premium to fly you across the country you Cancelled Flight my flight and offer no check fee or upgrade love Sad face
negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,question is it not possible to book a seat for an infant under 2 Its not giving me the option but we want a seat for him
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,Always have it together Youre welcome RT   Youre so welcome
negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,does that mean you dont have a policy for destroyed luggage
positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),thank you for checking in tickets are purchased and customer is happy
neutral,@VirginAmerica is your website ever coming back online?,is your website ever coming back online
neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday February 23
neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,my drivers license is expired by a little over a month Can I fly Friday morning using my expired license
negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,How do I reschedule my Cancelled Flightled flights online The change button is greyed out
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",got a flight we were told for 450 todaychecked my email and its for 450 TOMORROW This is unacceptable
negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,why dont any of the pairings include red wine Only white is offered  redwineisbetter
negative,@VirginAmerica is the website down?,is the website down
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,Your site seems a little wonked right now May want to have a look Tried on two browsers No CSS
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Im disappointed that the agent at the designated silver status check in line  closed to assist all pasengers
neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,Plans to Include Austin to its Dallas Route  TopNews Arab Emirates
negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,at Logan airport and waiting to checkin for my 9am flight Checkin desk not open  Why
neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,to jump into the DallasAustin market
neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",Beats EPS Views Takes On SouthwestAir VA LUV  Investors Business Daily
neutral,@VirginAmerica Lister to my show my on Monday 1230 130,Lister to my show my on Monday 1230 130
neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,to begin DallasAustin flights in April  889 KETR
neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.,Id love to know what your policy is for damaged luggage
positive,@VirginAmerica Thank you for the follow,Thank you for the follow
negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,too bad you say it takes 10 to 14 days via YOUR confirmation email When I inquired after 3 weeks you claim 6 to 8 weeks
negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Flight from BOS gt LAS tomorrow was Cancelled Flightled No notification wait times are 1 hour Will you rebook on another airline
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,RT  Youve met your match Got status on another airline Upgrade restr
positive,@VirginAmerica Only way to fly! #Elevate #Gold,Only way to fly Elevate Gold
neutral,@VirginAmerica If only you guys had flights from CMH.,If only you guys had flights from CMH
negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",a lot of apologies being thrown out to customers from what I can seeVery sad Thanks for nothing Worst airline ever
negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,for all my flight stuff wrong and did nothing about it Had worst flight ever
neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,Having an issue finding a missing item on a plane Can you help me find which airport my plane headed to next
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!,you will match my AmericanAirlines status Cool
neutral,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,Youve met your matchGot status on another airline Upgrade
positive,@VirginAmerica thanks!,thanks
negative,@VirginAmerica Just DM'd. Same issue persisting.,Just DMd Same issue persisting
negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,You have any flights flying into Boston tomorrow I need to be home and you Cancelled Flightled my flight and didnt do anything
negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed  expected better
neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow Just sent you a DM to help me
positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,cool picture of another VirginAmerica plane off our wing What a site
positive,@VirginAmerica Keep up the great work :),Keep up the great work
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,my goodness your people  field are amazing under pressure from Texas beatstheothers in crisis Please fly me to NY
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,Thanks for a great flight from LA to Boston Pilots did a great job landing in the snow Can we go back to LA now seriously
neutral,@VirginAmerica can you please get me to the new york area before monday afternoon,can you please get me to the new york area before monday afternoon
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",Thanks so much for the awesome support you guys rock
negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,seats in Row 8 dont recline should mention that on your website soreback
negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,flight 404 delayed 2 hours in LA due to mechanical problems Handle like pros but you could have tossed us a free drink
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,why Cancelled Flight flights today No precipitation to be scared of
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,twitter team you guys killed it for rescheduling me asap thank you
negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,You guys charged me 100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it Whats the deal
negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,cant access your website from Safari on iPhone 6 Seems to work on Mac and iPad Need iPhone to add Passbook
negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin","your mobile site is broken shows 
headerelevateUsernumOfPointsAvailable  0  number Points wont let me checkin"
negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,I was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",why Cancelled Flight flight VX413 One sec its delayed on my to airport the next its Cancelled FlightledGonna email or call me to reschedule
negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one
positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,wish I can afford to fly with you next Friday  going back home love everything  about your airline
negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas sad
neutral,"@VirginAmerica it’s just a bug report, guys",its just a bug report guys
negative,@VirginAmerica hold times at call center are a bit much,hold times at call center are a bit much
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ,Like
negative,@VirginAmerica Site down? #help,Site down help
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,You have the best flight attendant ever
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",Awesome RT  Watch nominated films at 35000 feet MeetTheFleet Oscars
positive,@VirginAmerica thanks so much!,thanks so much
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",the only airline based in Silicon Valley disruption FCmostinnovative incubator  s
positive,@VirginAmerica Very nicely done. 👏,Very nicely done
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),Im looking forward to watching the Oscars on my flight home tomorrow I might even get something bubbly to drink
negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,What is the reason  for the delay of the departure of VX 413 from JFK this afternoon
negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",is todays flight from Palm Springs Ca to JFK in NY Cancelled Flightled
neutral,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,any updates on flight 413 from Jfk gt Lax
neutral,@virginamerica spruce moose!,spruce moose
negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",the CSS on your site is a 404 right now please fix Site unusable
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz",classiq luv Virgin America Greetingz
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",Hi Im trying to do checkin but the website is not working I tried 3 different browsers and the problem continues
positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Thanks for your great customer service today amp for helping me get all my travel sorted out
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,thanks guys Sweet route over the Rockies airplanemodewason
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,love the 90s music blasting at gate in Boston while waiting for flight to SanFrancisco Only if I could get an iced coffee
negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",the passenger in 7D Flt 338 that assaulted me shouldnt have flown I trust hes banned Crew filed report to
negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,current bug on website shows select departure city when selecting destination city
negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,luggage was severely dentedmissing wheel coming off baggage claim in SAN Luggage agent Miranda I think wasnt any help
positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",thank you for the easy itinerary shift for impending weather Quick painless amp free
